,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category
GO:0050865,GO:0050865,regulation of cell activation,137/2052,241/6295,2.52546825864158e-15,9.28468234317887e-13,6.74372899560297e-13,FGF10/CR1/ZBTB16/IDO1/PDPN/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/CD84/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/CCL2/PIK3R6/VNN1/FCER1G/LILRB1/CD300LF/LILRB4/IGF1/DTX1/IL33/TLR6/IL10/LILRB2/IL12RB1/SYK/IL1RL1/TNFSF18/MILR1/TLR4/LRRK2/TNFAIP8L2/NFAM1/ITGB2/CD86/NOD2/PLEK/ITGAM/NCKAP1L/PTPRC/CD4/HLA-DOA/HLA-DPA1/GAS6/AIF1/LGALS9/RIPK3/PLA2G5/CD74/APOE/HLA-DPB1/IGFBP2/HAVCR2/LST1/SLA2/MEF2C/GPER1/NRARP/PRKG1/NLRP3/SAMSN1/EFNB2/SASH3/ZAP70/GPR183/ADAMTS18/TNFSF14/NFATC2/CD300A/MYB/CD226/MNDA/PDE5A/CD40/RASGRP1/TOX/JAK3/PTAFR/IL15/TIGIT/IL6ST/RASAL3/RAC2/ARG1/CD209/LAG3/TBX21/PDGFRB/CD38/MMP8/FOXF1/SFTPD/HLX/FGR/ZEB1/ITPKB/TESPA1/CD83/IL27RA/CD1D/IL6/VAV1/THBS1/GPNMB/ADORA2A/EPO/CEBPA/THBD/CD200/GAB2/MZB1/CX3CL1/BCL6/TSPAN32/PRKCZ/RIPK2/SLC7A2/TGFB1/NOS3/GRAP2/CCL5/CLC/EBI3/RIPOR2/INHBA/IL27/SPTA1/CCR7/CD320/INHA/LBP/LEP,137,BP
GO:0002694,GO:0002694,regulation of leukocyte activation,129/2052,223/6295,2.68149670561122e-15,9.28468234317887e-13,6.74372899560297e-13,FGF10/CR1/ZBTB16/IDO1/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/CD84/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/CCL2/PIK3R6/VNN1/FCER1G/LILRB1/CD300LF/LILRB4/IGF1/DTX1/IL33/TLR6/IL10/LILRB2/IL12RB1/SYK/IL1RL1/TNFSF18/MILR1/TLR4/LRRK2/TNFAIP8L2/NFAM1/ITGB2/CD86/NOD2/ITGAM/NCKAP1L/PTPRC/CD4/HLA-DOA/HLA-DPA1/GAS6/AIF1/LGALS9/RIPK3/PLA2G5/CD74/HLA-DPB1/IGFBP2/HAVCR2/LST1/SLA2/MEF2C/GPER1/NRARP/NLRP3/SAMSN1/EFNB2/SASH3/ZAP70/GPR183/TNFSF14/NFATC2/CD300A/MYB/CD226/MNDA/PDE5A/CD40/RASGRP1/TOX/JAK3/PTAFR/IL15/TIGIT/IL6ST/RASAL3/RAC2/ARG1/CD209/LAG3/TBX21/CD38/MMP8/FOXF1/SFTPD/HLX/FGR/ZEB1/ITPKB/TESPA1/CD83/IL27RA/CD1D/IL6/VAV1/THBS1/GPNMB/ADORA2A/EPO/CEBPA/CD200/GAB2/MZB1/CX3CL1/BCL6/TSPAN32/PRKCZ/RIPK2/SLC7A2/TGFB1/GRAP2/CCL5/CLC/EBI3/RIPOR2/INHBA/IL27/SPTA1/CCR7/CD320/INHA/LBP/LEP,129,BP
GO:0030595,GO:0030595,leukocyte chemotaxis,72/2052,105/6295,3.0437899546511e-14,9.0335337582681e-12,6.56131263156745e-12,CCL13/CH25H/CCL8/C5AR2/C5/CXCL16/MMP28/C5AR1/CCL2/CMKLR1/FCER1G/PIK3CG/C3AR1/CCL4/CCL18/CXCL1/EDN1/NBL1/PF4V1/IL10/RARRES2/SYK/IL16/CCL3L3/CCL3L1/PLA2G7/ITGB2/NCKAP1L/CSF1/VEGFC/GAS6/AIF1/LGALS9/PTPRO/CD74/CCL3/CAMK1D/CKLF/FPR2/PDE4B/GPR183/TNFSF14/TRPM2/PIK3CD/CXCL13/CXCL10/GPSM3/PPBP/SLC12A2/RAC2/TNFRSF11A/CCL4L1/ITGA9/SFTPD/CCL7/CXCR4/PF4/SLIT2/IL6/VAV1/THBS1/EDN2/CYP19A1/CX3CL1/SAA1/FLT1/CALR/CCL5/NOV/RIPOR2/CCR7/LBP,72,BP
GO:0042330,GO:0042330,taxis,156/2052,295/6295,1.40408142516971e-13,3.8893055477201e-11,2.82491329541162e-11,FGF10/CCL13/FGF7/CH25H/NFASC/CCL8/PLXNA4/C5AR2/C5/SCN1B/WNT3A/CXCL16/MMP28/C5AR1/CCL2/CMKLR1/NRCAM/FCER1G/PIK3CG/C3AR1/CCL4/CCL18/CXCL1/HBEGF/FPR3/EDN1/DOK2/GDNF/NBL1/PF4V1/IL10/NFIB/FPR1/RARRES2/SYK/MATN2/IL16/FOXD1/PLXNC1/KLF7/CCL3L3/CCL3L1/GFRA2/PLA2G7/ITGB2/SEMA3C/NCKAP1L/CSF1/NTN4/VEGFC/DOCK2/SLIT3/GAS6/AIF1/SEMA3A/LPAR1/LGALS9/PTPRO/CUBN/ROBO4/CD74/CCR9/CCL3/DOK5/DOK6/SEMA6B/CAMK1D/CKLF/FPR2/GBX2/CYSLTR1/PLP2/LEF1/ZSWIM6/ARRB2/TMSB4X/PDE4B/SEMA3E/EFNB2/P2RY12/GDF7/GPR183/ENPP2/TNFSF14/TRPM2/PIK3CD/CXCL13/HGF/LAMA2/CCR10/CHN1/MYPN/ROBO3/DSCAML1/CXCL10/GPSM3/PPBP/PTAFR/SEMA3G/DOK1/SLC12A2/RAC2/FEZ1/CNTN4/SMOC2/TNFRSF11A/CCL4L1/PDGFRB/AGTR1/ITGA9/SFTPD/DOCK4/F3/CCL7/APOA1/EPHA5/NRXN3/CXCR4/PF4/SEMA6D/CX3CR1/SLIT2/IL6/VAV1/ARHGAP35/DSCAM/BMPR1B/ADGRA2/THBS1/ECSCR/ANGPT2/EDN2/GPNMB/GFRA3/GAB2/CYP19A1/CX3CL1/SAA1/FLT1/CCL28/L1CAM/CALR/TGFB1/TUBB3/ITGB3/TNR/CCL5/NOV/RAP1GAP/RIPOR2/KIF5A/SPTA1/CCR7/CCRL2/LBP/RELN,156,BP
GO:0009617,GO:0009617,response to bacterium,137/2052,251/6295,1.98437752169026e-13,4.85005211919001e-11,3.52273086977459e-11,FGF10/CYP1A2/IL12RB2/IDO1/STAB2/PENK/MPEG1/FCGR2B/IL18/TNFRSF14/ABCC8/HAMP/TLR2/C5AR1/CCL2/PTGFR/IFIT1B/CYP1A1/FCER1G/ADGRB1/KLHL6/CRP/TNFSF8/CXCL1/LILRB1/TLR1/EDN1/LPL/CTSG/TLR6/FAM20A/PF4V1/LY86/IL10/LILRB2/IL22RA1/SCN7A/NFIB/RARRES2/SYK/RGS1/FER1L6/ICAM1/SYT11/TLR4/CD36/RNASE6/CAMP/FABP4/CD86/NOD2/CD14/HCK/FMO1/CD4/PTGER2/CD180/LGALS9/BCL3/CUBN/SIGLEC11/PRG2/PTGER4/CCL3/TMEM255A/LYZ/CASP1/CYP2E1/BMP6/HAVCR2/NLRP1/MEF2C/CCDC80/PTGIR/REG3G/MRC1/NLRP3/PDE4B/TREM2/TBXA2R/PLA2G2A/GBP5/CHIT1/STAB1/PLSCR4/MMP7/FKBP5/CXCL13/ANKRD1/CD40/CXCL10/LY96/PPBP/PTAFR/ADAMTS5/ARG1/WDR35/TNFRSF11A/IFI44/IL24/DCN/SFTPD/FGR/SIGLEC16/PF4/IL27RA/CD1D/CX3CR1/IL6/C3/IRAK2/EPO/THBD/TENT5A/HIST1H2BK/LYZL6/CX3CL1/TICAM2/RIPK2/SCARB1/HIST1H2BG/LRG1/TGFB1/NOS3/MGST1/NUGGC/CCL5/LTF/TFPI/IL27/CCR7/HIST1H2BF/CARD17/CD96/NLRP10/LBP/ALPL,137,BP
GO:0006959,GO:0006959,humoral immune response,65/2052,94/6295,3.00501575681728e-13,6.2429202347879e-11,4.53441061831323e-11,CR1/CCL13/C4BPB/CD28/FCGR2B/C5AR2/C5/CFI/C1QA/C5AR1/CCL2/C7/C1QB/C2/C3AR1/CRP/C1R/CXCL1/RGCC/CTSG/PF4V1/LY86/A2M/RARRES2/C1QC/CFD/VSIG4/CFHR1/RNASE6/CAMP/PTPRC/BCL3/LYZ/MEF2C/REG3G/PROS1/C1RL/TREM2/GPR183/PLA2G2A/MMP7/FCN3/CXCL13/VTN/CPN2/SUSD4/CXCL10/PPBP/C1S/FCER2/BST2/SFTPD/CD83/PF4/HLA-DQB1/IL6/C3/HIST1H2BK/HIST1H2BG/EBI3/C8G/LTF/CCR7/HIST1H2BF/TREM1,65,BP
GO:0032103,GO:0032103,positive regulation of response to external stimulus,87/2052,140/6295,4.11839746280693e-13,7.77815520816491e-11,5.64949546692223e-11,FGF10/IDO1/CD28/PDE2A/IL18/TLR2/C5AR1/CMKLR1/TLR7/FCER1G/PIK3CG/C3AR1/CCL4/CCL18/EDN1/LPL/IL33/TLR6/LY86/RARRES2/IL1RL1/IL16/TLR4/LRRK2/CCL3L3/CCL3L1/PLA2G7/FABP4/ITGB2/NOD2/ITGAM/NCKAP1L/CSF1/VEGFC/GAS6/AIF1/LPAR1/CD180/LGALS9/CD74/PTGER4/CCL3/BMP6/HAVCR2/CAMK1D/OSM/FPR2/TMSB4X/P2RY12/TNFSF14/PLA2G2A/GBP5/CXCL13/CXCL10/LY96/GPSM3/IL15/F12/IL6ST/RAC2/ARG1/SMOC2/TNFRSF11A/PDGFRB/AGTR1/MMP8/F3/CCL7/SIGLEC16/SLIT2/IL6/DSCAM/THBS1/C3/EDN2/CEBPA/THBD/CX3CL1/RIPK2/TGM2/CALR/TGFB1/CCL5/RIPOR2/CCR7/NLRP10/LBP,87,BP
GO:0050778,GO:0050778,positive regulation of immune response,162/2052,313/6295,5.18521830137322e-13,9.36720958356770e-11,6.80367087873548e-11,CR1/SLAMF6/C4BPB/IDO1/HLA-F/CD28/TLR8/FCGR2B/C5AR2/CTLA4/C5/HLA-DMB/IL18/TNFSF13B/TNFRSF14/CFI/C1QA/CD22/TLR2/C5AR1/FCGR2A/C7/CMKLR1/TLR7/FCER1G/KLHL6/C1QB/C2/C3AR1/CRP/C1R/LILRB1/CD300LF/LILRB4/FPR3/RGCC/TLR1/HLA-A/IL33/CTSG/TLR6/MICB/A2M/IL12RB1/FCGR1A/HLA-B/FPR1/SYK/CLEC4A/C1QC/CFD/CTSS/VSIG4/CFHR1/HLA-DQA1/TLR4/CD36/NFAM1/LCP2/ITGB2/CD86/NOD2/MARCO/THEMIS2/CD14/ITGAM/NCKAP1L/PTPRC/HCK/CD4/HLA-DPA1/RFTN1/LGALS9/CD74/PRKCB/WAS/IFI16/HLA-DPB1/HAVCR2/PRKACB/HLA-DRA/BMX/SLA2/MEF2C/REG3G/FPR2/CGAS/RAET1E/ARRB2/NLRP3/PDE4B/HLA-DRB1/SASH3/PROS1/C1RL/ZAP70/TMEM173/PIK3CD/NFATC2/AIM2/GBP5/CD300A/MYB/CD226/RNF125/MNDA/FCN3/HLA-DRB5/VTN/CPN2/SUSD4/CD40/RASGRP1/IL18R1/LY96/CADM1/CLEC7A/C1S/PTAFR/IL15/FCER2/IL6ST/CD209/LAG3/TBX21/MYO1G/CD38/HMSD/SFTPD/HLX/FGR/TESPA1/ICAM2/HLA-DQB1/IL27RA/CD1D/LAT2/IL6/VAV1/C3/SH2B2/IRAK2/MUC20/GAB2/BTNL10/HSP90B1/TICAM2/PRKCZ/RIPK2/TGFB1/EREG/GRAP2/CCL5/C8G/LTF/GPR32/CCR7/TREML4/C17orf99/NLRP10/LBP/SMPDL3B,162,BP
GO:0001819,GO:0001819,positive regulation of cytokine production,110/2052,192/6295,7.92081032645566e-13,1.37129028776764e-10,9.96007158155631e-11,MCOLN2/IL12RB2/SLAMF6/IDO1/CD28/TLR8/C5/IL18/TNFRSF14/WNT3A/ABCC8/TLR2/C5AR1/ADRA2A/TLR7/FCER1G/C3AR1/HTR2B/RGCC/TLR1/SCAMP5/LPL/IL33/TLR6/IL10/LILRB2/IL12RB1/SYK/IL1RL1/TLR4/CD36/LRRK2/NFAM1/AFAP1L2/CD86/NOD2/CD14/PTPRC/CD4/HLA-DPA1/CYBB/LGALS9/BCL3/CD74/PTGER4/MBP/CCL3/CCM2L/IFI16/CASP1/HLA-DPB1/HAVCR2/CD34/NLRP1/OSM/CGAS/NLRP3/PDE4B/SASH3/TMEM173/AIM2/GBP5/MYB/CD226/RNF125/ALOX15B/HGF/CD40/RASGRP1/IL18R1/LY96/CADM1/GPSM3/PTAFR/IL15/TIGIT/IL6ST/MAPK11/MMP8/FGR/PLCB1/SIGLEC16/CD83/GATA4/NFATC4/PF4/IL27RA/IL6/THBS1/C3/CD200/PAEP/CX3CL1/SAA1/PRKCZ/RIPK2/LURAP1/TGFB1/NLRP9/CYP1B1/EREG/EBI3/CCBE1/DRD2/IL27/CCR7/NLRP10/APOA2/LBP/LEP,110,BP
GO:0046649,GO:0046649,lymphocyte activation,151/2052,290/6295,1.82075669042764e-12,2.8019422402692e-10,2.03513038263393e-10,FGF10/CR1/ZBTB16/SLAMF6/IDO1/SLAMF1/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/CCL2/PIK3R6/VNN1/FCER1G/PIK3CG/TNFSF8/LILRB1/LILRB4/IGF1/DTX1/IL10/LILRB2/MICB/IL12RB1/SYK/CLEC4A/MFNG/ICAM1/TNFSF18/TLR4/DOCK10/NCR1/TNFAIP8L2/NFAM1/ITGB2/CD86/NOD2/NCKAP1L/PTPRC/CD4/HLA-DOA/DOCK2/HLA-DPA1/GAS6/AIF1/CD180/SPI1/LGALS9/BCL3/RIPK3/CD74/MAFB/PTGER4/CCR9/PRKCB/WAS/HLA-DPB1/IGFBP2/HAVCR2/LST1/SLA2/MEF2C/NRARP/PRF1/RAET1E/LEF1/NLRP3/SAMSN1/EFNB2/SASH3/ZAP70/GPR183/TNFSF14/PIK3CD/NFATC2/CD300A/MYB/ITGAL/SATB1/MNDA/GAPT/PDE5A/BATF/SLAMF7/CD40/RASGRP1/IL18R1/TOX/CLEC7A/JAK3/IL15/IKZF1/TIGIT/IL6ST/RASAL3/RAC2/ARG1/CD209/LAG3/TBX21/CD38/HHEX/BST2/SFTPD/HLX/ZEB1/ITPKB/TESPA1/CD83/DLL4/WNT4/RUNX2/IL27RA/CD1D/LAT2/IL6/VAV1/NOTCH2/GPNMB/ADORA2A/EPO/MZB1/BCL6/PRKCZ/HSH2D/RIPK2/TGFB1/WNT1/DNAJB9/GRAP2/CCL5/CLC/EBI3/RIPOR2/LY6D/TREML2/INHBA/IL27/SPTA1/CCR7/CD320/C17orf99/INHA/LEP/RORC,151,BP
GO:0070663,GO:0070663,regulation of leukocyte proliferation,69/2052,105/6295,2.52805044447802e-12,3.6220860678642e-10,2.63082418305572e-10,FGF10/IDO1/CD28/CCL8/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/LILRB1/IGF1/IL10/LILRB2/IL12RB1/SYK/KITLG/TNFSF18/TLR4/CD86/NCKAP1L/CSF1/PTPRC/CD4/HLA-DPA1/AIF1/LGALS9/RIPK3/CD74/HLA-DPB1/IGFBP2/HAVCR2/LST1/MEF2C/SASH3/ZAP70/GPR183/NFATC2/CD300A/MNDA/PDE5A/CD40/JAK3/IL15/IL6ST/RASAL3/RAC2/ARG1/CD209/CD38/SFTPD/CD1D/IL6/GPNMB/EPO/MZB1/BCL6/RIPK2/TGFB1/CCL5/CLC/EBI3/IL27/SPTA1/CD320/LEP,69,BP
GO:0001816,GO:0001816,cytokine production,166/2052,328/6295,3.11493120249146e-12,4.17501262785548e-10,3.0324304779433e-10,MCOLN2/IL12RB2/SLAMF6/IDO1/SLAMF1/CD28/TLR8/ACKR1/FCGR2B/C5AR2/C5/IL18/CD84/TNFRSF14/WNT3A/APOD/ABCC8/NAV3/TLR2/C5AR1/CMKLR1/ADRA2A/TLR7/FCER1G/PIK3CG/C3AR1/HTR2B/CRP/LILRB1/KLF2/RGCC/TLR1/SCAMP5/LPL/IL33/TLR6/IL10/LILRB2/IL12RB1/SYK/CLEC4A/IL1RL1/SYT11/TLR4/CD36/LRRK2/NFAM1/MAF/SRGN/FABP4/AFAP1L2/LCP2/CD86/NOD2/CD14/NCKAP1L/PTPRC/CD4/CD200R1/HLA-DPA1/RFTN1/GAS6/CYBB/LGALS9/BCL3/NRROS/RIPK3/CD74/PTGER4/DBH/MBP/CCL3/CCM2L/IFI16/CASP1/HLA-DPB1/CHI3L1/HAVCR2/CD34/NLRP1/OSM/CGAS/LEF1/ARRB2/TMSB4X/NLRP3/PDE4B/SASH3/TMEM173/PIK3CD/NFATC2/AIM2/GBP5/MYB/CD226/RNF125/ALOX15B/JPH4/HGF/BATF/CD40/TRIB2/RASGRP1/IL18R1/LY96/CADM1/GPSM3/JAK3/PTAFR/IL15/TIGIT/IL6ST/TGFB3/ARG1/MAPK11/LAG3/TBX21/MMP8/BST2/SFTPD/FGR/PLCB1/APOA1/SIGLEC16/CD83/GATA4/NFATC4/PF4/IL27RA/CX3CR1/IL6/THBS1/HDAC7/C3/GPNMB/ANXA4/CD200/PAEP/CX3CL1/SAA1/BCL6/CIDEA/PRKCZ/RIPK2/LURAP1/GBA/TGFB1/CRYBA1/NLRP9/CYP1B1/EREG/CLC/EBI3/CCBE1/LTF/DRD2/INHBA/IL27/CCR7/CARD17/CD96/INHA/NLRP10/APOA2/LBP/LEP,166,BP
GO:0042110,GO:0042110,T cell activation,113/2052,202/6295,3.33151694675802e-12,4.2752379723492e-10,3.10522699771364e-10,CR1/ZBTB16/SLAMF6/IDO1/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/TNFSF9/CCL2/PIK3R6/VNN1/FCER1G/PIK3CG/TNFSF8/LILRB1/LILRB4/IGF1/DTX1/IL10/LILRB2/MICB/IL12RB1/SYK/CLEC4A/ICAM1/TNFSF18/TNFAIP8L2/CD86/NOD2/NCKAP1L/PTPRC/CD4/HLA-DOA/DOCK2/HLA-DPA1/AIF1/LGALS9/BCL3/RIPK3/CD74/MAFB/PTGER4/CCR9/WAS/HLA-DPB1/IGFBP2/HAVCR2/SLA2/NRARP/LEF1/NLRP3/EFNB2/SASH3/ZAP70/GPR183/TNFSF14/PIK3CD/NFATC2/CD300A/MYB/ITGAL/SATB1/PDE5A/BATF/RASGRP1/IL18R1/CLEC7A/JAK3/IL15/TIGIT/IL6ST/RASAL3/RAC2/ARG1/CD209/LAG3/TBX21/SFTPD/HLX/ZEB1/ITPKB/TESPA1/CD83/DLL4/WNT4/RUNX2/CD1D/IL6/VAV1/GPNMB/ADORA2A/EPO/BCL6/PRKCZ/HSH2D/RIPK2/TGFB1/WNT1/GRAP2/CCL5/CLC/EBI3/RIPOR2/TREML2/IL27/SPTA1/CCR7/LEP/RORC,113,BP
GO:0022407,GO:0022407,regulation of cell-cell adhesion,102/2052,177/6295,3.39549586251561e-12,4.2752379723492e-10,3.10522699771364e-10,ZBTB16/IDO1/PDPN/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/ADTRP/CCL2/PIK3R6/VNN1/LILRB1/LILRB4/RGCC/IGF1/DTX1/IL10/LILRB2/IL12RB1/SYK/NEXMIF/ICAM1/TNFAIP8L2/CD44/CD86/NOD2/NCKAP1L/PTPRC/CD4/HLA-DPA1/AIF1/LGALS9/CD74/MBP/CCM2L/HLA-DPB1/IGFBP2/HAVCR2/FERMT3/NRARP/PRKG1/LEF1/NLRP3/EFNB2/SASH3/ZAP70/ADAMTS18/TNFSF14/CD300A/MYB/CXCL13/PDE5A/RASGRP1/JAK3/PTAFR/IL15/TIGIT/IL6ST/RASAL3/ARG1/CD209/LAG3/TBX21/JAG1/SFTPD/HLX/APOA1/ITPKB/TESPA1/CD83/WNT4/PODXL/CD1D/IL6/VAV1/GPNMB/ADORA2A/GTPBP4/EPO/CX3CL1/BCL6/PRKCZ/CEACAM6/RIPK2/CCL28/FSTL3/TGFB1/WNT1/TNR/GRAP2/CCL5/EBI3/RIPOR2/EPCAM/SPTA1/CCR7/LEP,102,BP
GO:0002696,GO:0002696,positive regulation of leukocyte activation,87/2052,145/6295,6.79011414637327e-12,7.83692341060582e-10,5.69218048469362e-10,FGF10/ZBTB16/CD28/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CCL2/PIK3R6/VNN1/FCER1G/LILRB1/LILRB4/IGF1/IL33/TLR6/IL10/LILRB2/IL12RB1/SYK/IL1RL1/TLR4/LRRK2/ITGB2/CD86/NOD2/ITGAM/NCKAP1L/PTPRC/CD4/HLA-DPA1/GAS6/AIF1/LGALS9/CD74/HLA-DPB1/IGFBP2/HAVCR2/MEF2C/NLRP3/EFNB2/SASH3/ZAP70/GPR183/TNFSF14/NFATC2/MYB/CD226/CD40/RASGRP1/TOX/JAK3/PTAFR/IL15/IL6ST/RASAL3/CD209/TBX21/CD38/MMP8/HLX/FGR/ITPKB/TESPA1/CD83/CD1D/IL6/VAV1/THBS1/EPO/CEBPA/GAB2/BCL6/PRKCZ/RIPK2/TGFB1/GRAP2/CCL5/EBI3/SPTA1/CCR7/CD320/LBP/LEP,87,BP
GO:0007159,GO:0007159,leukocyte cell-cell adhesion,91/2052,154/6295,7.45585183232522e-12,8.37272009819224e-10,6.08134486579699e-10,ZBTB16/IDO1/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/TNFSF9/ADTRP/CCL2/PIK3R6/VNN1/LILRB1/LILRB4/IGF1/DTX1/IL10/LILRB2/IL12RB1/SYK/ICAM1/PECAM1/TNFAIP8L2/ITGB2/CD44/CD86/NOD2/NCKAP1L/PTPRC/CD4/HLA-DPA1/AIF1/LGALS9/CD74/HLA-DPB1/IGFBP2/HAVCR2/FERMT3/NRARP/NLRP3/EFNB2/SASH3/ZAP70/TNFSF14/CD300A/MYB/ITGAL/PDE5A/RASGRP1/JAK3/PTAFR/IL15/TIGIT/IL6ST/RASAL3/RAC2/SELPLG/ARG1/CD209/LAG3/TBX21/SFTPD/HLX/ITPKB/TESPA1/CD83/CD1D/CX3CR1/IL6/VAV1/GPNMB/GCNT1/ADORA2A/EPO/BCL6/PRKCZ/RIPK2/CCL28/NT5E/TGFB1/GRAP2/CCL5/EBI3/SELL/RIPOR2/SPTA1/CCR7/ADD2/LEP,91,BP
GO:0070661,GO:0070661,leukocyte proliferation,80/2052,130/6295,7.70769829628544e-12,8.42775958449105e-10,6.12132161092807e-10,FGF10/IDO1/CD28/CCL8/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/PIK3CG/LILRB1/IGF1/IL33/IL10/LILRB2/IL12RB1/SYK/KITLG/TNFSF18/TLR4/CD86/NCKAP1L/CSF1/PTPRC/CD4/DOCK2/HLA-DPA1/AIF1/CD180/LGALS9/RIPK3/CD74/ACE/HLA-DPB1/IGFBP2/HAVCR2/LST1/MEF2C/LEF1/SASH3/ZAP70/GPR183/TNFSF14/NFATC2/CD300A/SATB1/MNDA/GAPT/PDE5A/CD40/JAK3/IL15/IL6ST/RASAL3/RAC2/ARG1/CD209/CD38/SFTPD/WNT4/CD1D/IL6/GPNMB/EPO/MZB1/CX3CL1/BCL6/RIPK2/TGFB1/CCL5/CLC/EBI3/IL27/SPTA1/CD320/LEP,80,BP
GO:0002685,GO:0002685,regulation of leukocyte migration,60/2052,89/6295,1.36074165295635e-11,1.37899550439844e-09,1.00160367625824e-09,CCL8/BMP5/C5AR2/C5/TNFRSF14/APOD/ADTRP/MMP28/C5AR1/CCL2/CMKLR1/C3AR1/CCL4/EDN1/IL33/NBL1/RARRES2/KITLG/ICAM1/TNFSF18/PLA2G7/NCKAP1L/CSF1/VEGFC/CD200R1/GAS6/AIF1/LGALS9/RIPK3/CD74/PTGER4/CCL3/CAMK1D/FPR2/P2RY12/TNFSF14/CD300A/CXCL13/CXCL10/GPSM3/PTAFR/RAC2/PLCB1/CCL7/CX3CR1/SLIT2/IL6/PLVAP/THBS1/EDN2/CD200/CYP19A1/CCL28/CALR/TGFB1/CCL5/NOV/RIPOR2/CCR7/LBP,60,BP
GO:0050670,GO:0050670,regulation of lymphocyte proliferation,66/2052,102/6295,2.17574486739498e-11,2.11076913270687e-09,1.53311168622981e-09,FGF10/IDO1/CD28/FCGR2B/CTLA4/HLA-DMB/IL18/TNFSF13B/TNFRSF14/WNT3A/TNFSF9/CD22/LILRB1/IGF1/IL10/LILRB2/IL12RB1/SYK/TNFSF18/TLR4/CD86/NCKAP1L/PTPRC/CD4/HLA-DPA1/AIF1/LGALS9/RIPK3/CD74/HLA-DPB1/IGFBP2/HAVCR2/LST1/MEF2C/SASH3/ZAP70/GPR183/NFATC2/CD300A/MNDA/PDE5A/CD40/JAK3/IL15/IL6ST/RASAL3/RAC2/ARG1/CD209/CD38/SFTPD/CD1D/IL6/GPNMB/EPO/MZB1/BCL6/RIPK2/TGFB1/CCL5/CLC/EBI3/IL27/SPTA1/CD320/LEP,66,BP
GO:0030001,GO:0030001,metal ion transport,184/2052,379/6295,2.18443014937173e-11,2.11076913270687e-09,1.53311168622981e-09,SCN1A/MCOLN2/RAMP3/TRPA1/LRRC38/SLC24A4/CCL8/SLC30A8/CACNA2D4/PDE2A/KCNMA1/KCNA4/SCN1B/CD84/P2RX5/WNT3A/CACNB4/SCN9A/SCN2A/ABCC8/TMEM163/KCNMB1/HAMP/MCOLN3/NALCN/CCL2/FGF14/KCNJ5/ADRA2A/FGF13/PIK3CG/KCNJ16/HTR2B/CCL4/ATP6V0D2/LILRB1/CACNA1H/KCNQ3/SLC30A4/ATP12A/SLC17A4/SLC5A9/SLC9A9/PKD1L3/ANK2/LILRB2/SCN7A/RGN/LRRC55/SCN11A/IL16/KCNJ2/ICAM1/GRIN2C/KCNAB1/TRPC6/F2RL3/DRD1/GJA4/RYR2/PTPRC/TCN2/KCNH2/CD4/KCNAB2/KCNQ1/FHL1/GAS6/KCNIP3/MYO5A/ABCC9/KCNS2/PRKCB/BEST1/CCL3/SCN4B/KCNK17/GPER1/CYSLTR1/CACNA2D2/KCNIP1/CLIC2/ARRB2/PDE4B/NIPAL2/KLHL3/P2RY12/FFAR1/HECW2/TRPM2/KCNA3/TRPM6/SLC4A10/JPH4/CEMIP/SLC8A1/SCN3A/FXYD2/CACNA1C/CXCL10/APLNR/PKD2L1/KCNK3/RRAD/NOS1AP/ASIC2/SLC12A2/CASK/CACNB1/GCK/RAMP2/SLC38A6/PDGFRB/ADRB2/GJC2/STC1/FTL/KCNJ10/HCN4/KCNIP4/CACNA2D1/NKX2-5/RGS9/STAC2/KCNQ4/RASA3/CACNA2D3/EHD3/NIPAL1/LPAR3/SLC3A2/NKAIN1/ADORA2A/EPO/BSPRY/CALM1/SLC6A8/CX3CL1/ERO1A/CACNA1I/HCN2/SLN/SLC12A3/SLC10A6/KCNJ6/JPH3/SCNN1G/MFSD4B/GLRX/TGFB1/NOS3/SCNN1B/TUSC3/KCNA6/CRH/PRSS8/STEAP4/CD63/KCNN2/MRLN/SLC4A4/TF/SLC9A2/MTNR1B/REM2/CCL5/TFR2/SLC39A8/GEM/BHLHA15/KCNH4/TRPC5/SLC30A2/WNK4/DRD2/SLC38A3/CCR7/ATP2C2/ABCB11/ASIC4/KCNA7/HEPH/P2RX2/SLC30A10,184,BP
